recdate,legendtextkind,textcat,textsubcat,text,lkey,legtextkey
8789A         |Ambraw-Ceresco-Sarpy complex, 0 to 2 percent slopes, occasionally flooded||

9278A, |Stronghurst silt loam, terraces, 0 to 2 percent slopes, 9278A|Stronghurst silt loam, terraces, 0 to 2 percent slopes,
278A|Stronghurst silt loam, 0 to 2 percent slopes| 

9278B |Stronghurst silt loam, terraces, 2 to 5 percent slopes, |9278B|Stronghurst silt loam, terraces, 2 to 5 percent slopes
278B| Stronghurst silt loam, 2 to 5 percent slopes|| 

9279B         |Rozetta silt loam, terrace, 2 to 5 percent slopes|9279B  |Rozetta silt loam, terrace, 2 to 5 percent slopes 

9279C         |Rozetta silt loam, terrace, 5 to 10 percent slopes, eroded|9279C  |Rozetta silt loam, terrace, 5 to 10 percent slopes, eroded

MW|Miscellaneous wataer|MW|Miscellaneous water

W             |Water                                         |W      |Water 



Series established by this correlation: None

Series added to the previously correlated legend (September 1991): Bethalto, Blake, Blyton, Bunkum, Caseyville, Downsouth, Dozaville, Gorham,  Keswick, Lamont, Lindley, Marseilles, Menfro, Navlys, Passport, Slacwater, Stookey, Timewell, Wakenda, Winfield, and Zumbro.

Series dropped from the previously correlated legend (September 1991): Atterberry, Blair, Downs, Gosport, Herrick, and Tama.

Series made inactive: None

Verification of exact cooperator names: For the front cover and half-title page:

United States Department of Agriculture
Natural Resources Conservation Service
in Cooperation with the
Illinois Agricultural Experiment Station

The cooperators to be listed on the inside of the front cover are the same as those on the front cover and in addition state: ""This soil survey update is part of the technical assistance provided to the Pike County Soil and Water Conservation District.  Financial assistance was made  available by the Pike County Board and the Illinois Department of Agriculture."" 

Prior soil survey publication:  The last soil survey of Pike County was completed in 1990 and published by the United States Department of Agriculture, Natural Resources Conservation Service in 1999.  It is Illinois Agricultural Experiment Station Soil Report No. 155, ""Soil Survey of Pike County, Illinois"".  Reference to the prior soil survey will be included in the literature citation of the manuscript.

This update survey replaces the prior soil survey and provides additional data, updated soil interpretations, and digital soil maps at a 1:12,000 scale on an orthophoto base.

Join statement: Pike County joins three modern soil surveys.  

Adams County - Update survey to be certified 2001
Brown County - Modern soil survey (1998)
Calhoun County - Modern soil survey (1989)


An exact join will be completed with the updated Adams County survey.  An acceptable join will be completed with the remaining adjacent counties.

Disposition of field sheets: The 135 published soil atlas sheets at a scale of 1:15,840 were rectified and ratioed to a scale of 1:12,000.  These maps serve as the base maps for the update soil survey of Pike County.  The published maps were used to recompile the soils layer onto Mylar sheets with 1:12,000 scale orthophoto quarter quads serving as a base.  Publication scale is 1:12,000 according to SSURGO standards.  Copies of a computer tape of the final  digital product will remain at the Illinois NRCS state office.  Digital spatial and attribute data will be provided to the Pike County Board as part of the cost share cooperative agreement. 

Instructions for map compilation and map finishing: Map recompilation has been completed by the Springfield MLRA team. The  soil layer is recompiled on Mylar separates at a 1:12,000 scale.  The hydrography, and connventional and special symbols layers will be recompiled onscreen using ARCINFO at a scale of 1:12,000.  The soils layer will be delivered to the Digitizing Center for scanning and digital processing.  The hydrography layer and the conventional and special symbols layer will be delivered to the Illinois NRCS state office. 

Symbols for map finishing are those approved for SSURGO standards and as shown in this document.  The Springfield MLRA team and the Illinois NRCS state office GIS staff will complete a final check of the digital materials before delivering the product to the Digitizing Center for SSURGO certification.

Conventional and special symbols legend:  Only those symbols indicated on the attached NRCS-SOILS-37A will be shown on the legend and placed on the maps.  Cultural features that appear on the 7.5 minute series topographic quadrangle will appear on the published maps.  During compilation, only those cultural features that do not appear on the 7.5 minute series topographic quadrangle have been compiled as a separate layer using ARCINFO




Definitions and Guidelines for Use of Conventional and Special Symbols
for Pike County, Illinois 

DescriptionLabelDefinitions and Guidelinese

Cultural Features
CemeteryCEMEShow if one acre or larger.  Label with the proper name or the word cemetery if the tract is large enough.  Label smaller cemeteries with the cross symbol.  Do not show boundaries of extent.

Land Division Corners (section)

Interstate, Federal, and State Road interstate, federal, Emblems
Use appropriate symbols for and state roads.  Other roads will not be labeled.

Hydrographic Features
Unclassified streamStreams which may or may not flow water throughout year.  They are less than 100 feet in width on the landscape or less than 0.10 inch on the atlas sheet.

Unclassified drainage and/or irrigation ditch
Drainage endAdd to 37A

Landform Features
Depression, closed DEPA shallow, saucer-shaped area slightly lower on the landscape than the surrounding area, but without a natural outlet for surface drainage. Typically 1/4  to 3 acres.

Escarpment, bedrockESBA relatively continuous and steep slope or cliff produced by erosion or faulting breaking the general continuity of more gently sloping land surfaces.  Exposed material is hard or soft bedrock.

Escarpment, otherESOA relatively continuous and steep slope or cliff generally produced by erosion, but can be produced by faulting breaking the continuity of more gently sloping land surfaces. Exposed nonbedrock material is nonsoil or very shallow, poorly developed soil. 

Short steep slopeSLPNarrow soil area that has slopes that are at least 2 slope classes steeper than the slope class of the surrounding map unit.

Excavations
Gravel pitGPIAn open excavation from which soil and underlying material have been removed, and used without crushing, as a source of sand or gravel. Typically 1/4  to 2 acres.

Mine or quarryMPIAn open excavation from which soil and underlying material is removed exposing the bedrock.  Also used to denote surface openings to underground mines.  Typically 1/4 to 2 acres. 

Miscellaneous surface features

Marsh or swampMARA water saturated, very poorly drained area, intermittently or permanently water-covered. Marsh areas are dominantly covered by sedges, cattails, and rushes. Swamps are dominantly covered by trees or shrubs. Not used in map units where poorly drained or very poorly drained soils are the named components. Typically 1/2 to 3 acres.

Rock outcrop (includes sandstone and shaleROCAn exposure of bedrock at the surface of the earth.  Not used where the named soils of the surrounding map unit are shallow over bedrock.  Typically 1/4 to 2 acres.

Sandy spotSANSurface layer with sand content greater than 75 percent in areas where the surface layer of the named soils of the surrounding map unit have less than about 25 percent sand. Typically 1/2 to 3 acres.

Severely eroded spotEROAn area where on the average 75 percent or more of the original surface layer has been lost from accelerated erosion. Typically 1/2 to 3 acres.



Sinkhole, levees, drainage end, gravelly spot, and wet spot are marked on the 37A, but are not listed here under definitions and guidelines for special features!

Soil Mapunit Symbol Conversion Legend
Pike County, Illinois


Field symbols
Publi- cation symbol


5C2
515C2
5C2
652C2
5C3
515C3
5C3
652C3
5D2
515D2


5D2
652D2
5D3
515D3
5D3
652D3
8D2
8D2
8D2
651D2


8D3
651D3
8D3
8D3
8E
8F
8E
559F
8E2
8E2


8E2
651E2
8F
8F
8G
8G
8G
559G
17A
17A


17B
17B
19B2
630B2
19C2
630C2
19D3
19D3
19C3
630C3


30F
30F
30G
30G
36B
441B
37B
7037B
43A
43A


43B
43B
46
699A
50
50A
50A
50A
61
90A


75B
7075B
75C
75C
75C2
75C2
79B
79B
79C2
79C2


79C3
79C3
79D2
79D2
79D3
79D3
79E2
79E2
90A
90A


119D2
119D2
119D3
119D3
119E2
119E2
175F
175F
175G
175G


216B
216B
216C2
216C2
216C3
216C3
216D2
216D2
216D3
216D3


242A
242A
242A
7242A
257A
257A
257B
257B
264D3
264D3
264E
175F


264E
264E2
264E2
264E2
264G
175G
264G
264G
267A
267A


267B
267B
271C3
271C3
271D3
271D3
271D3
271D3
271E2
856E2


274B
216B
274B
274B
274C2
216C2
274C3
216C3
274D2
216D2
274D3
216D3


274E
856274F
274E
943F
274E2
856E2
274G
274G
274G
856G


278B
267B
278A
278A
278A
267A
279B
279B
279C2
279C2
279C3
279C3


280B
280B
280B
79B
280C2
280C2
280C2
79C2
280C3
79C3
280C3
280C3
280D2
280D2
280D2
79D2


280D3
79D3
280D3
280D3
280E2
79E2
283B
283B
283C2
283C2


386B
283B
386C2
283C2
403G
403G
403G
403G
430B
7430B


430B
8674A
441B
441B
472D2
472D2
472E2
472E2
477B
477B


477C2
477C2
477C3
477C3
515C2
515C2
515C3
515C3
515D2
515D2


515D3
515D3
549E2
549E2
549F
549F
549G
549G
551E2
549E2


551E2
549F
551G
549G
559F
559F
559G
559G
605D2
651D2


605D2
655D2
605D3
651D3
605D3
655D3
605E2
651E2
605E2
655E2


606E
606F
606G
606G
630B2
630B2
630C2
630C2
630C3
630C3


651D2
651D2
651D3
651D3
651E2
651E2
652C2
652C2
652C3
652C3


652D2
652D2
652D3
652D3
655D2
655D2
655D3
655D3
655E2
655E2


699A
699A
785G
785G
815
7815B
835G
835G
856E2
856E2


856F
856F
856G
856G
864
864
865
865
937E
559F
937E
8F
937E
856F
943F
943274F
1070L
1070L
3028
3028A
3028A
3028A


3070
3070A
3070A
3070A
3070L
3070L
3071L
3071L
3092
3092A


3092A
3092A
3092L
3092L
3162A
3162A
3302
3162A
3302L
3302L


3331
3331A
3331A
3331A
3331L
3331L
3333
3333A
3333A
3333A


3333L
3333L
3404
3404A
3404A
3404A
3404L
3404L
3415
3415A


3415A
3415A
3415L
3415L
3428
3428A
3428A
3428A
3428L
3428L


3475
3475A
3475A
3475A
3475L
3475L
3877L
3877L


4070
1070L
4070
3070L


7088
7088A
7088A
7088A
7242A
7242A
7430B
7430B
7815B
7815B
8070
8070A


8070A
8070A
8071
8071A
8071A
8071A
8092
8092A
8092A
8092A


8162A
8162A
8180
8180A
8180A
8180A
8183
8183A
8183A
8183A


8217
8217A
8217A
8217A
8284
8284A
8284A
8284A
8288
8288A


8288A
8288A
8302
8302A
8302A
8302A
8331
8331A
8331A
8331A


8331
8634A
8333
8333A
8333A
8333A
8341
8162A
8349B
8349B
8395
8395A


8395A
8395A
8396
8396A
8396A
8396A
8404
8404A
8404A
8404A


8415
8415A
8415A
8415A
8428
8428A
8428A
8428A
8451
8451A


8451A
8451A
8452
8452A
8452A
8452A
8634A
8634A
8674A
8674A


8789
8789A
8789A
8789A
9278A
9278A
9278B
9278B
9279B
9279B
9279C
9279C



Alphabetical Soil Identification Legend
Pike County, Illinois

Map symbol
Approved map unit name

 
3302L  
Ambraw clay loam, 0 to 2 percent slopes, frequently flooded, long duration
8302A  
Ambraw clay loam, 0 to 2 percent slopes, occasionally flooded 
8789A  
Ambraw-Ceresco-Sarpy complex, 0 to 2 percent slopes, occasionally flooded
472D2  
Baylis silt loam, 10 to 18 percent slopes, eroded 
472D2  
Baylis silt loam, 10 to 18 percent slopes, eroded 
472E2  
Baylis silt loam, 158 to 3025 percent slopes, eroded 
3070A  
Beaucoup silty clay loam, 0 to 2 percent slopes, frequently flooded
3070L  
Beaucoup silty clay loam, 0 to 2 percent slopes, frequently flooded, long duration 
8070A  
Beaucoup silty clay loam, 0 to 2 percent slopes, occasionally flooded 
1070L  
Beaucoup silty clay loam, 0 to 2 percent slopes, undrained, occasionally flooded, long duration
90A    
Bethalto silt loam, 0 to 2 percent slopes     
3877L
Blake-Slacwater silt loams, 0 to 2 percent slopes, frequently flooded, long duration
8634A  
Blyton silt loam, 0 to 2 percent slopes, occasionally flooded 
515D2  
Bunkum silt loam, 10 to 18 percent slopes, eroded 
515C2  
Bunkum silt loam, 5 to 10 percent slopes, eroded 
515D3  
Bunkum silty clay loam, 10 to 18 percent slopes, severely eroded
515C3  
Bunkum silty clay loam, 5 to 10 percent slopes, severely eroded
267A   
Caseyville silt loam, 0 to 2 percent slopes   
267B   
Caseyville silt loam, 2 to 5 percent slopes   
8395A  
Ceresco loam, 0 to 2 percent slopes, occasionally flooded 
257A   
Clarksdale silt loam, 0 to 2 percent slopes   
257B   
Clarksdale silt loam, 2 to 5 percent slopes   
3428A  
Coffeen silt loam, 0 to 2 percent slopes, frequently flooded
3428L  
Coffeen silt loam, 0 to 2 percent slopes, frequently flooded, long duration
8428A  
Coffeen silt loam, 0 to 2 percent slopes, occasionally flooded
8071A  
Darwin silty clay loam, 0 to 2 percent slopes, occasionally flooded
3071L  
Darwin silty clay, 0 to 2 percent slopes, frequently flooded, long duration 
283B   
Downsouth silt loam, 2 to 5 percent slopes    
283C2  
Downsouth silt loam, 5 to 10 percent slopes, eroded
8674A  
Dozaville silt loam, 0 to 2 percent slopes, occasionally flooded
7075B    
Drury silt loam, 2 to 5 percent slopes, rarely flooded        
75C    
Drury silt loam, 5 to 10 percent slopes       
75C2   
Drury silt loam, 5 to 10 percent slopes, eroded 
8180A  
Dupo silt loam, 0 to 2 percent slopes, occasionally flooded
835G   
Earthen Dam                                   
264G   
El Dara fine sandy loam, 35 to 60 percent slopes 
264D3  
El Dara sandy loam, 10 to 18 percent slopes, severely eroded
264E2  
El Dara sandy loam, 18 to 25 percent slopes, eroded
119D2  
Elco silt loam, 10 to 18 percent slopes, eroded 
119E2  
Elco silt loam, 18 to 25 percent slopes, eroded 
119D3  
Elco silty clay loam, 10 to 18 percent slopes, severely eroded
403G   
Elizabeth very channery silt loam, 35 to 60 percent slopes
3475A  
Elsah gravelly loam, 0 to 2 percent slopes, frequently flooded 
3475L  
Elsah gravelly loam, 0 to 2 percent slopes, frequently flooded, long duration
280B   
Fayette silt loam, 2 to 5 percent slopes      
280C2  
Fayette silt loam, 5 to 10 percent slopes, eroded 
280D2  
Fayette silt loam, 10 to 18 percent slopes, eroded 
280C3  
Fayette silty clay loam, 5 to 10 percent slopes, severely eroded 
280D3  
Fayette silty clay loam, 10 to 18 percent slopes, severely eroded 
3162A  
Gorham silty clay loam, 0 to 2 percent slopes, frequently flooded
8162A  
Gorham silty clay loam, 0 to 2 percent slopes, occasionally flooded
606F   
Goss gravelly silt loam, 18 to 35 percent slopes 
606G   
Goss gravelly silt loam, 35 to 60 percent slopes 
30F    
Hamburg silt, 18 to 35 percent slopes         
30G    
Hamburg silt, 35 to 60 percent slopes         
3331A  
Haymond silt loam, 0 to 2 percent slopes, frequently flooded 
3331L  
Haymond silt loam, 0 to 2 percent slopes, frequently flooded, long duration
8331A  
Haymond silt loam, 0 to 2 percent slopes, occasionally flooded
8D3    
Hickory clay loam, 10 to 18 percent slopes, severely eroded 
8D2    
Hickory loam, 10 to 18 percent slopes, eroded 
8E2    
Hickory loam, 18 to 25 percent slopes, eroded 
8F     
Hickory silt loam, 18 to 35 percent slopes    
8G     
Hickory silt loam, 35 to 60 percent slopes    
43A    
Ipava silt loam, 0 to 2 percent slopes        
43B    
Ipava silt loam, 2 to 5 percent slopes        
3028A  
Jules silt loam, 0 to 2 percent slopes, frequently flooded 
242A   
Kendall silt loam, 0 to 2 percent slopes      
7242A    
Kendall silt loam, 0 to 2 percent slopes, rarely flooded      
17A    
Keomah silt loam, 0 to 2 percent slopes       
17B    
Keomah silt loam, 2 to 5 percent slopes       
651D3  
Keswick clay loam, 10 to 18 percent slopes, severely eroded
651D2  
Keswick loam, 10 to 18 percent slopes, eroded 
651E2  
Keswick loam, 18 to 25 percent slopes, eroded 
785G   
Lacrescent channery silt loam, 35 to 60 percent slopes
175F   
Lamont sandy loam, 18 to 35 percent slopes    
175G   
Lamont sandy loam, 35 to 60 percent slopes    
8451A  
Lawson silt loam, 0 to 2 percent slopes, occasionally flooded 
559F   
Lindley loam, 18 to 35 percent slopes         
559G   
Lindley loam, 35 to 60 percent slopes         
549E2  
Marseilles silt loam, 18 to 25 percent slopes, eroded
549F   
Marseilles silt loam, 18 to 35 precut slopes  
549G   
Marseilles silt loam, 35 to 60 percent slopes 
79B    
Menfro silt loam, 2 to 5 percent slopes       
79C2   
Menfro silt loam, 5 to 10 percent slopes, eroded 
79D2   
Menfro silt loam, 10 to 18 percent slopes, eroded 
79E2   
Menfro silt loam, 18 to 25 percent slopes, eroded 
79C3   
Menfro silty clay loam, 5 to 10 percent slopes, severely eroded 
79D3   
Menfro silty clay loam, 10 to 18 percent slopes, severely eroded 
MW
Miscellaneous water
630B2  
Navlys silt loam, 2 to 5 percent slopes, eroded 
630C2  
Navlys silt loam, 5 to 10 percent slopes, eroded
630C3  
Navlys silty clay loam, 5 to 10 percent slopes, severely eroded 
3415A  
Orion silt loam, 0 to 2 percent slopes, frequently flooded 
3415L  
Orion silt loam, 0 to 2 percent slopes, frequently flooded, long duration 
8415A  
Orion silt loam, 0 to 2 percent slopes, occasionally flooded
652C2  
Passport silt loam, 5 to 10 percent slopes, eroded
652D2  
Passport silt loam, 10 to 18 percent slopes, eroded
652C3  
Passport silty clay loam, 5 to 10 percent slopes, severely eroded
652D3  
Passport silty clay loam, 10 to 18 percent slopes, severely eroded 
8288A  
Petrolia silt loam, 0 to 2 percent slopes, occasionally flooded
865    
Pits, gravel                                  
864    
Pits, quarries                                
7430B  
Raddle silt loam, 2 to 5 percent slopes, rarely flooded       
8452A  
Riley silty clay loam, 0 to 2 percent slopes, occasionally flooded
279B   
Rozetta silt loam, 2 to 5 percent slopes      
279C2  
Rozetta silt loam, 5 to 10 percent slopes, eroded 
9279B  
Rozetta silt loam, terrace, 2 to 5 percent slopes 
9279C
Rozetta silt loam, terrace, 5 to 10 percent slopes, eroded
279C3  
Rozetta silty clay loam, 5 to 10 percent slopes, severely eroded 
3092L  
Sarpy loamy fine sand, 0 to 2 percent slopes, frequently flooded, long duration
8092A  
Sarpy sand, 0 to 2 percent slopes, occasionally flooded
3092A  
Sarpy loamy sand, 0 to 2 percent slopes, frequently flooded 
274B   
Seaton silt loam, 2 to 5 percent slopes       
274G   
Seaton silt loam, 35 to 60 percent slopes     
274F   
Seaton- silt loam, 18 to 35 percent slopes
8183A  
Shaffton clay loam, 0 to 2 percent slopes, occasionally flooded
7088A  
Sparta loamy fine sand, 0 to 2 percent slopes, rarely flooded
856E2  
Stookey and Timula soils, 18 to 25 percent slopes, eroded
856F   
Stookey and Timula soils, 18 to 35 percent slopes
856G   
Stookey and Timula soils, 35 to 60 percent slopes
216B   
Stookey silt loam, 2 to 5 percent slopes      
216C2  
Stookey silt loam, 5 to 10 percent slopes, eroded 
216C3  
Stookey silt loam, 5 to 10 percent slopes, severely eroded 
216D2  
Stookey silt loam, 10 to 18 percent slopes, eroded 
216D3  
Stookey silt loam, 10 to 18 percent slopes, severely eroded 
278A   
Stronghurst silt loam, 0 to 2 percent slopes  
9278A
Stronghurst silt loam, terrace, 0 to 2 percent slopes
9278B
Stronghurst silt loam, terrace, 2 to 5 percent slopes
19D3   
Sylvan silty clay loam, 10 to 18 percent slopes, severely eroded 
8284A  
Tice silty clay loam, 0 to 2 percent slopes, occasionally flooded 
699A   
Timewell silt loam, 0 to 2 percent slopes     
271D3  
Timula silt loam, 10 to 18 percent slopes, severely eroded 
271C3  
Timula silt loam, 5 to 10 percent slopes, severely eroded 
3404A  
Titus silty clay loam, 0 to 2 percent slopes, frequently flooded
3404L  
Titus silty clay loam, 0 to 2 percent slopes, frequently flooded, long duration
8404A  
Titus silty clay loam, 0 to 2 percent slopes, occasionally flooded
8217A  
Twomile silt loam, 0 to 2 percent slopes, occasionally flooded 
7815B  
Udorthents, silty, undulating, rarely flooded 
655D2  
Ursa silt loam, moderately wet, 10 to 18 percent slopes, eroded
655E2  
Ursa silt loam, moderately wet, 18 to 25 percent slopes, eroded
655D3  
Ursa silty clay loam, moderately wet, 10 to 18 percent slopes, severely eroded
8396A  
Vesser silt loam, 0 to 2 percent slopes, occasionally flooded
50A    
Virden silty clay loam, 0 to 2 percent slopes 
3333A  
Wakeland silt loam, 0 to 2 percent slopes, frequently flooded
3333L  
Wakeland silt loam, 0 to 2 percent slopes, frequently flooded, long duration 
8333A  
Wakeland silt loam, 0 to 2 percent slopes, occasionally flooded 
441B   
Wakenda silt loam, 2 to 5 percent slopes      
W      
Water                                         
477B   
Winfield silt loam, 2 to 5 percent slopes     
477C2  
Winfield silt loam, 5 to 10 percent slopes, eroded 
477C3  
Winfield silty clay loam, 5 to 10 percent slopes, severely eroded 
7037B    
Worthen silt loam, 2 to 5 percent slopes, rarely flooded     
8349B
Zumbro sandy loam, 1 to 6 percent slopes, occasionally flooded


Classification of Pedons Sampled for Laboratory Analysis
For Pike County, Illinois
A Subset of MLRA 115C


There were no additional pedons sampled during this update.  The list of pedons sampled for analysis is contained in the 1992 correlation document.







Notes to Accompany the 
Classification and Correlation 
of the Soils of Pike County
Prepared by John C. Doll
Pike County, Illinois


Map symbol
Mapunit Name 
Mapunit text notes
DMU

 


8D2
Hickory loam, 10 to 18 percent slopes, eroded
This map unit linked to dmu: 29005 
The taxonomic unit description is: 95IL-017-002 
The map unit representative pedon is: 81IL-131-040 
These soils in pre-Illinoian areas will be correlated to Keswick.
29,005




8D3
Hickory clay loam, 10 to 18 percent slopes, severely eroded
This map unit linked to dmu: 41064 
The taxonomic unit description is: 95IL-017-002 
The map unit representative pedon is: 95IL-073-001 
These soils in pre-Illinoian areas are correlated to Keswick.
41,064




8E2
Hickory loam, 18 to 25 percent slopes, eroded
This map unit linked to dmu: 30759 
The taxonomic unit description is: 95IL-017-002 
The map unit representative pedon is: 93IL-057-022 
These soils in pre-Illinoian areas are correlated to Keswick in areas that are pasture or hayland.  Wooded areas are correlated to Lindley.
30,759




8F
Hickory silt loam, 18 to 35 percent slopes
This map unit linked to dmu: 30760 
The taxonomic unit description is: 95IL-017-002 
The map unit representative pedon is: 94IL-057-141 
These soils in pre-Illinoian area are correlated to Lindley. Areas of Seaton-Hickory complex will be compiled as consociations with Seaton unit above the Hickory (Lindley in pre-Illinoian areas) unit.
30,760




8G
Hickory silt loam, 35 to 60 percent slopes
This map unit linked to dmu: 30761 
The taxonomic unit description is: 95IL-017-002 
The map unit representative pedon is: 97IL-001-002. 
These soils in pre-Illinoian areas are correlated to Lindley.
30,761

 


17A
Keomah silt loam, 0 to 2 percent slopes
This map unit linked to dmu: 30763 
The taxonomic unit description is: 95IL-001-023 
The map unit representative pedon is: 95IL-001-023.
Some pedons have an abrupt texture change.
30,763




17B
Keomah silt loam, 2 to 5 percent slopes
This map unit linked to dmu: 30764 
The taxonomic unit description is: 95IL-001-0023 
The map unit representative pedon is: 82IL-009-020
30,764




19D3
Sylvan silty clay loam, 10 to 18 percent slopes, severely eroded
This map unit linked to dmu: 29012 
The taxonomic unit description is: 95IL-017-033OSD 
The map unit representative pedon is: 82IL-017-002 
These soils have water tables greater than 6 ft.
29,012

 


30F
Hamburg silt, 18 to 35 percent slopes
This map unit linked to dmu: 29228 
The taxonomic unit description is: 81IL-017-050 
The map unit representative pedon is: Randolph Co pedon. These soils in Pike County are on the low end of the range for very fine sand content.
29,228

 


30G
Hamburg silt, 35 to 60 percent slopes
This map unit linked to dmu: 46789 
The taxonomic unit description is: 81IL-017-050 
The map unit representative pedon is: 81IL-017-050 
These soils in Pike County are on the low end of the range for very fine sand content.
46,789

 


7037B
Worthen silt loam, 2 to 5 percent slopes, rarely flooded
This map unit linked to dmu: 30766 
The taxonomic unit description is: 95IL-606-042 OSD pedon. 
The map unit representative pedon is: 95IL-606-042. Slopes adjusted from 1-4% to 2-5% to fit the MLRA 115 legend.
30,766

 


43A
Ipava silt loam, 0 to 2 percent slopes
This map unit linked to dmu: 28262 
The taxonomic unit description is: 78IL-095-016 (OSD pedon) 
The map unit representative pedon is:  78IL-095-016
28,262

 


43B
Ipava silt loam, 2 to 5 percent slopes
This map unit linked to dmu: 46028 
The taxonomic unit description is: 78IL-095-016 
The map unit representative pedon is: 87IL-187-071
46,028

 


50A
Virden silty clay loam, 0 to 2 percent slopes
This map unit linked to dmu: 43193 
The taxonomic unit description is: 00IL-001-006 (OSD pedon) 
The map unit representative pedon is: 00IL-001-006
43,193

 


7075B
Drury silt loam, 2 to 5 percent slopes, rarely flooded
This map unit linked to dmu: 30769 
The taxonomic unit description is: 87IL-149-045 (Proposed new OSD pedon) 
The map unit representative pedon is: 87IL-149-045.
30,769

 


75C
Drury silt loam, 5 to 10 percent slopes
This map unit linked to dmu: 29233 
The taxonomic unit description is: 87IL-149-045 
The map unit representative pedon is: 88IL-169-042.
29,233

 


75C2
Drury silt loam, 5 to 10 percent slopes, eroded
This map unit linked to dmu: 30770 
The taxonomic unit description is: 87IL-149-045 
The map unit representative pedon is:???
30,770

 


79B
Menfro silt loam, 2 to 5 percent slopes
This map unit linked to dmu: 30771 
The taxonomic unit description is: 97IL-001-016 
The map unit representative pedon is: 97IL-001-016. 
These soils previously correlated as Fayette in warm mesic areas of Pike County.
30,771

 


79C2
Menfro silt loam, 5 to 10 percent slopes, eroded
This map unit linked to dmu: 30772 
The taxonomic unit description is: 97IL-001-016 
The map unit representative pedon is: 88IL-149-016. 
These soils previously correlated as Fayette in warm mesic areas in Pike County.
30,772

 


79C3
Menfro silty clay loam, 5 to 10 percent slopes, severely eroded
This map unit linked to dmu: 30773 
The taxonomic unit description is: 97IL-001-016 
The map unit representative pedon is: 86IL-149-043. 
These soils previously correlated Fayette in warm mesic areas in Pike County.
30,773

 


79D2
Menfro silt loam, 10 to 18 percent slopes, eroded
This map unit linked to dmu: 30774 
The taxonomic unit description is: 97IL-001-016 
The map unit representative pedon is: ???
These soils previously correlated Fayette in warm mesic areas in Pike County.
30,774

 


79D3
Menfro silty clay loam, 10 to 18 percent slopes, severely eroded
This map unit linked to dmu: 30775 
The taxonomic unit description is: 97IL-001-016 
The map unit representative pedon is: 87IL-149-037 
These soils previously correlated Fayette in warm mesic areas in Pike County.
30,775

 


79E2
Menfro silt loam, 18 to 25 percent slopes, eroded
This map unit linked to dmu: 46897 
The taxonomic unit description is: 97IL-001-016 
The map unit representative pedon is: 87IL-149-036 
These soils previously correlated Fayette in warm mesic areas in Pike County.
46,897

 


90A
Bethalto silt loam, 0 to 2 percent slopes
This map unit linked to dmu: 30779 
The taxonomic unit description is: 95IL-001-025 
The map unit representative pedon is: 95IL-001-025. 
These soils were previously correlated Atterberry in warm mesic areas of Pike County.
30,779

 


119D2
Elco silt loam, 10 to 18 percent slopes, eroded
This map unit linked to dmu: 46022 
The taxonomic unit description is: 97IL-167-026 (OSD pedon) 
The map unit representative pedon is: 77IL-037-018 
These soils in Pike County are very strongly acid the Bt horizon. Suggest expanding OSD range.
46,022

 


119D3
Elco silty clay loam, 10 to 18 percent slopes, severely eroded
This map unit linked to dmu: 46032 
The taxonomic unit description is: 97IL-167-026 (OSD pedon) 
The map unit representative pedon is: 97IL-037-102
46,032

 


119E2
Elco silt loam, 18 to 25 percent slopes, eroded
This map unit linked to dmu: 29026 
The taxonomic unit description is: 97IL-167-026 (OSD pedon) 
The map unit representative pedon is: 94IL-157-134.
29,026

 


175F
Lamont sandy loam, 18 to 35 percent slopes
This map unit linked to dmu: 30783 
The taxonomic unit description is: 97IL-001-019 
The map unit representative pedon is: ???
These soils previously mapped as El Dara in areas of Pike County that that do not have cretaceous deposits.  (El Dara continues to be mapped in Cretaceous areas.)
30,783

 


175G
Lamont sandy loam, 35 to 60 percent slopes
This map unit linked to dmu: 30784 
The taxonomic unit description is: 97IL-001-019 
The map unit representative pedon is: 97IL-001-019 
These soils were previously correlated as El Dara in areas of Pike County that do not have Cretaceous deposits. (El Dara is still mapped in the Cretaceous deposits.)
30,784

 


216B
Stookey silt loam, 2 to 5 percent slopes
This map unit linked to dmu: 30785 
The taxonomic unit description is: 95IL-001-036 
The map unit representative pedon is: 95IL-001-036 
These soils previously correlated Seaton in warm mesic areas in Pike County.
30,785

 


216C2
Stookey silt loam, 5 to 10 percent slopes, eroded
This map unit linked to dmu: 30786 
The taxonomic unit description is: 95IL-001-036 
The map unit representative pedon is: ???
These soils previously correlated Seaton in warm mesic areas in Pike County.
30,786

 


216C3
Stookey silt loam, 5 to 10 percent slopes, severely eroded
This map unit linked to dmu: 30787 
The taxonomic unit description is: 95IL-001-036 
The map unit representative pedon is: 86IL-149-028 
These soils previously correlated Seaton in warm mesic areas in Pike County.
30,787

 


216D2
Stookey silt loam, 10 to 18 percent slopes, eroded
